x_px,y_px
1408,358
1409,441
1411,2616
1413,471
1427,2616
1428,2495
1431,2552
1433,347
1433,358
1433,395
1433,438
1433,469
1433,496
1433,2480
1433,2515
1433,2533
1433,2540
1433,2567
1433,2600
1433,2627
1436,441
1441,2578
1443,2526
1451,2552
1454,2578
1459,356
1459,391
1459,406
1459,462
1459,496
1459,2480
1459,2541
1459,2573
1459,2597
1459,2627
1468,471
1468,498
1468,2616
1478,415
1484,2495
1485,389
1489,441
1491,358
1494,471
1498,498
1502,355
1502,465
1502,500
1502,2476
1502,2520
1502,2527
1502,2580
1502,2587
1502,2621
1505,2526
1508,2495
1510,2526
1511,2578
1523,498
1523,2495
1526,2552
1527,471
1534,2481
1534,2515
1534,2534
1534,2588
1534,2602
1542,2552
1543,2495
1550,471
1552,2526
1557,498
1559,2578
1562,355
1562,466
1562,502
1562,2472
1562,2522
1562,2525
1562,2580
1562,2583
1565,2495
1567,2578
1570,498
1579,2455
1580,498
1583,471
1584,358
1585,441
1587,389
1589,415
1595,413
1595,2450
1595,2533
1595,2559
1595,2591
1601,358
1602,2552
1604,2455
1604,2495
1614,389
1615,2526
1618,2578
1621,361
1621,395
1621,398
1621,500
1621,2465
1621,2522
1621,2579
1624,2578
1625,2526
1630,389
1642,415
1653,420
1653,463
1662,415
1679,398
1679,401
1679,435
1679,453
1679,498
1680,415
1680,441
1694,441
1694,498
1701,471
1709,429
1718,415
1728,441
1729,389
1735,395
1735,447
1735,496
1748,441
1751,498
1767,431
1767,450
1767,501
1779,389
1782,471
1785,441
1793,400
1793,415
1793,447
1793,452
1793,495
1800,441
1810,498
1811,471
1812,389
1814,415
1816,441
1824,385
1824,410
1824,438
1829,389
1833,415
1842,441
1845,441
1850,403
1850,445
1850,448
1850,496
1855,471
1858,415
1858,441
1872,415
1881,437
1894,471
1902,415
1902,441
1907,407
1907,445
1907,449
1907,496
1915,441
1917,498
1930,415
1932,471
1933,447
1933,506
1933,517
1949,471
1957,415
1959,410
1959,438
1959,441
1959,457
1959,460
1959,488
1959,491
1959,505
1960,471
1962,441
1964,498
1969,498
1980,471
1995,451
2004,415
2019,471
2021,421
2021,440
2021,444
2021,447
2021,499
2025,441
2027,415
2029,498
2038,415
2044,471
2045,415
2046,525
2053,460
2053,521
2069,471
2073,441
2080,446
2080,499
2080,502
2083,498
2088,441
2093,525
2100,471
2109,463
2109,513
2109,538
2122,441
2135,451
2135,502
2135,538
2138,498
2156,471
2167,468
2176,441
2194,456
2194,471
2194,530
2195,498
2196,525
2213,553
2224,476
2224,513
2228,471
2231,441
2238,525
2250,452
2250,494
2250,500
2250,548
2256,471
2262,553
2272,441
2281,438
2281,458
2281,501
2287,441
2297,580
2307,554
2307,558
2307,587
2316,553
2319,553
2335,570
2335,589
2358,2332
2361,2417
2367,580
2369,553
2372,2383
2375,2332
2375,2455
2384,525
2385,473
2385,593
2385,2344
2385,2378
2385,2396
2385,2423
2385,2452
2386,498
2389,2455
2405,2455
2407,580
2407,2417
2411,453
2411,492
2411,565
2411,592
2411,2335
2411,2394
2411,2422
2411,2448
2416,2383
2420,553
2423,553
2424,471
2424,498
2435,525
2437,471
2450,460
2450,498
2450,551
2458,471
2464,525
2471,498
2474,498
2477,453
2477,491
2477,496
2477,546
2477,551
2477,593
2483,553
2487,525
2496,471
2500,580
2507,448
2507,498
2507,544
2507,554
2511,498
2513,471
2514,525
2516,580
2532,471
2532,580
2539,453
2539,471
2539,567
2539,594
2551,580
2565,454
2565,597
2586,580
2598,580
2607,471
2609,611
2613,453
2613,474
2613,567
2613,589
2613,609
2613,2280
2614,553
2637,580
2638,2332
2640,458
2640,487
2640,532
2640,558
2640,593
2640,612
2640,2277
2640,2306
2640,2325
2640,2421
2645,553
2645,2417
2646,2299
2648,498
2648,525
2652,553
2653,2383
2656,611
2663,2299
2663,2383
2665,2332
2667,459
2667,471
2667,479
2667,508
2667,535
2667,566
2667,601
2667,625
2667,2275
2667,2295
2667,2324
2667,2343
2667,2387
2667,2418
2682,471
2683,525
2688,638
2691,638
2691,2417
2694,461
2694,484
2694,500
2694,537
2694,558
2694,601
2694,619
2694,640
2694,2273
2694,2300
2694,2324
2694,2342
2694,2385
2694,2414
2699,553
2700,2383
2702,611
2706,2332
2708,498
2709,553
2711,580
2720,507
2720,532
2720,541
2720,558
2720,567
2720,590
2720,611
2720,620
2720,639
2720,2270
2720,2298
2720,2331
2720,2362
2720,2383
2720,2410
2723,2266
2725,580
2741,638
2744,2332
2746,580
2747,482
2747,502
2747,537
2747,541
2747,557
2747,561
2747,590
2747,611
2747,623
2747,643
2747,2268
2747,2328
2747,2351
2747,2359
2747,2409
2751,498
2751,553
2754,553
2759,611
2759,2299
2759,2332
2764,498
2764,525
2765,2383
2766,553
2767,611
2768,638
2773,2299
2776,479
2776,525
2776,532
2776,542
2776,563
2776,595
2776,620
2776,645
2776,2264
2776,2268
2776,2296
2776,2321
2776,2397
2796,525
2803,485
2803,502
2803,536
2803,542
2803,557
2803,592
2803,619
2803,2321
2803,2401
2806,2332
2807,498
2807,553
2807,2383
2811,611
2816,553
2817,580
2820,638
2821,611
2823,498
2826,2332
2827,2383
2829,494
2829,509
2829,534
2829,552
2829,617
2829,649
2829,2264
2829,2312
2829,2374
2829,2398
2834,525
2839,2383
2840,2237
2856,496
2856,552
2856,617
2856,2311
2856,2332
2858,2266
2860,2383
2863,611
2865,553
2870,2299
2875,2383
2876,611
2876,638
2880,553
2881,2299
2885,503
2885,526
2885,539
2885,550
2885,558
2885,602
2885,639
2885,657
2885,2262
2885,2295
2885,2313
2885,2316
2885,2357
2885,2367
2886,2237
2887,2266
2898,2332
2911,500
2911,532
2911,550
2911,558
2911,562
2911,602
2911,640
2911,660
2911,2229
2911,2267
2911,2286
2911,2303
2911,2314
2911,2326
2911,2368
2915,553
2917,2332
2919,2237
2920,553
2923,2299
2925,553
2925,580
2930,2237
2931,611
2931,638
2933,553
2937,502
2937,534
2937,546
2937,552
2937,557
2937,591
2937,610
2937,2213
2937,2240
2937,2256
2937,2298
2937,2310
2937,2352
2938,2332
2940,2237
2945,525
2945,580
2947,2266
2949,2209
2952,2332
2963,498
2966,580
2969,503
2969,525
2969,534
2969,553
2969,562
2969,583
2969,609
2969,618
2969,662
2969,2209
2969,2228
2969,2309
2969,2342
2973,553
2976,611
2977,553
2977,2266
2979,686
2980,2237
2984,2299
2985,525
2986,638
2986,2209
2987,611
2987,2332
2990,553
2991,580
2991,2299
2992,2237
2993,686
2995,2266
2996,505
2996,534
2996,569
2996,618
2996,659
2996,668
2996,683
2996,2203
2996,2233
2996,2257
2996,2260
2996,2292
2996,2312
2996,2346
2999,525
3003,686
3003,2209
3005,2266
3021,2266
3024,580
3027,507
3027,533
3027,586
3027,611
3027,618
3027,637
3027,659
3027,691
3027,2192
3027,2261
3027,2284
3027,2313
3027,2319
3027,2343
3029,553
3033,686
3034,611
3038,2209
3038,2237
3042,2299
3044,2266
3045,2299
3050,611
3050,2237
3051,2180
3052,686
3052,2332
3054,511
3054,531
3054,552
3054,580
3054,592
3054,615
3054,645
3054,649
3054,675
3054,689
3054,2183
3054,2201
3054,2236
3054,2258
3054,2292
3054,2311
3054,2339
3057,553
3059,525
3060,638
3063,638
3065,2332
3077,638
3081,552
3081,592
3081,615
3081,642
3081,645
3081,673
3081,703
3081,2152
3081,2183
3081,2201
3081,2235
3081,2261
3081,2284
3081,2335
3084,553
3085,580
3085,2332
3086,611
3086,638
3093,2237
3095,2180
3096,2332
3099,2180
3099,2209
3099,2237
3099,2299
3102,2299
3104,611
3104,638
3105,2266
3106,686
3108,548
3108,593
3108,607
3108,648
3108,662
3108,701
3108,704
3108,2147
3108,2171
3108,2188
3108,2246
3108,2293
3108,2308
3108,2316
3109,712
3111,2148
3112,611
3117,2266
3122,738
3133,2148
3139,738
3140,550
3140,591
3140,612
3140,641
3140,667
3140,697
3140,724
3140,728
3140,746
3140,2139
3140,2170
3140,2188
3140,2245
3140,2292
3141,2266
3144,2209
3147,611
3147,638
3148,553
3150,2180
3150,2299
3152,580
3152,2237
3153,2266
3154,712
3154,2180
3157,686
3157,712
3158,2237
3159,738
3164,2122
3166,559
3166,611
3166,645
3166,708
3166,721
3166,755
3166,2142
3166,2167
3166,2197
3166,2231
3166,2253
3166,2266
3166,2287
3166,2298
3168,2148
3168,2209
3173,764
3177,2266
3191,2266
3194,613
3194,640
3194,760
3194,780
3194,2100
3194,2111
3194,2115
3194,2142
3194,2197
3194,2231
3194,2257
3194,2278
3196,580
3196,2299
3197,611
3197,2209
3200,2090
3201,638
3205,2122
3207,2148
3208,2180
3209,712
3209,2237
3210,686
3212,738
3213,764
3216,2266
3218,2090
3223,599
3223,613
3223,641
3223,646
3223,661
3223,728
3223,767
3223,2086
3223,2189
3223,2196
3223,2224
3223,2247
3223,2284
3226,638
3228,2209
3230,793
3243,2090
3249,605
3249,642
3249,767
3249,809
3249,2078
3249,2109
3249,2137
3249,2168
3249,2187
3249,2195
3249,2221
3249,2247
3254,638
3255,2148
3260,2266
3261,2122
3262,764
3263,2180
3264,2237
3266,2063
3272,2090
3276,764
3276,2036
3279,611
3279,637
3279,761
3279,770
3279,774
3279,810
3279,2029
3279,2060
3279,2133
3279,2143
3279,2163
3279,2172
3279,2196
3279,2243
3279,2258
3279,2273
3281,2148
3282,2266
3285,793
3291,830
3294,830
3296,2036
3297,2122
3299,2090
3300,2148
3305,618
3305,638
3305,770
3305,810
3305,841
3305,2023
3305,2055
3305,2060
3305,2172
3305,2194
3305,2197
3305,2240
3306,2063
3306,2209
3308,638
3309,793
3310,2237
3311,638
3312,2180
3317,830
3324,764
3326,738
3327,764
3327,2010
3330,830
3332,651
3332,727
3332,764
3332,773
3332,814
3332,821
3332,2015
3332,2054
3332,2180
3332,2191
3332,2222
3334,686
3336,2209
3339,857
3341,686
3345,793
3350,712
3353,2036
3360,2209
3362,2010
3366,712
3366,764
3366,821
3366,874
3366,1969
3366,2005
3366,2009
3366,2053
3366,2183
3366,2187
3369,686
3370,2010
3376,830
3377,712
3377,857
3379,738
3379,764
3380,793
3380,887
3382,764
3383,1954
3384,2036
3385,2063
3392,913
3395,714
3395,763
3395,807
3395,811
3395,902
3395,1965
3395,2018
3395,2062
3395,2083
3395,2148
3395,2161
3395,2173
3403,1984
3407,939
