x_px,y_px
79.0,560.0
79.0,676.0
80.0,507.0
80.0,695.0
80.0,729.0
80.33333333333333,348.0
80.33333333333333,526.0
81.0,751.0
81.0,770.0
82.0,659.3333333333334
82.0,787.0
83.66666666666667,435.0
84.0,642.0
84.0,841.0
85.0,490.0
86.33333333333333,223.0
86.5,127.5
86.5,538.0
86.53333333333333,103.0
86.75,382.0
87.0,214.0
87.0,240.0
87.0,299.0
87.0,317.3333333333333
87.0,331.0
87.0,344.0
87.0,363.0
87.0,399.6666666666667
87.0,415.0
87.0,449.0
87.0,479.0
87.0,498.0
87.0,555.0
87.0,568.3333333333334
87.0,578.0
87.0,591.4285714285714
87.0,635.0
87.0,679.6666666666666
87.0,695.3333333333334
87.0,704.0
87.0,727.0
87.0,747.0
87.0,804.0
87.0,812.0
87.0,824.0
87.0,847.0
87.0,861.0
87.0,882.25
87.0,896.6666666666666
87.18181818181819,42.0
87.25,831.75
87.25,836.5
87.3076923076923,652.8461538461538
87.4,665.0
87.41176470588235,524.1764705882352
87.41666666666667,717.75
88.33333333333333,210.0
89.0,676.0
90.5,261.875
90.73333333333333,381.4
91.0,229.75
91.0,859.0
92.0,711.0
93.0,105.0
93.0,468.0
94.0,490.0
94.0,896.4761904761905
94.5,418.0
94.66666666666667,121.0
95.0,806.0
96.0,603.0
96.0,659.0
96.15789473684211,878.1052631578947
97.0,348.0
97.0,642.0
97.0,841.0
98.0,585.1666666666666
99.0,560.0
100.0,452.0
100.0,507.0
100.0,729.0
101.0,542.0
101.0,695.0
101.33333333333333,435.0
102.0,87.0
102.0,526.0
103.0,676.0
103.0,770.0
103.3,774.55
103.47368421052632,716.0
103.92105263157895,670.3684210526316
104.0,228.0
104.0,324.0
104.0,349.0
104.0,356.0
104.0,376.0
104.0,386.0
104.0,400.0
104.0,443.0
104.0,481.0
104.0,498.0
104.0,511.0
104.0,521.0
104.0,534.0
104.0,554.0
104.0,576.0
104.0,589.0
104.0,594.0
104.0,609.0
104.0,633.6666666666666
104.0,646.0
104.0,690.0
104.0,803.0
104.0,857.3333333333334
104.0,878.3333333333334
104.0,884.0
104.0,895.0
104.12,831.0
104.5,101.33333333333333
104.66666666666667,824.0
104.78571428571429,751.7142857142857
105.0,105.0
105.0,659.0
105.5,841.0
107.0,787.0
107.66666666666667,329.0
108.0,364.0
108.66666666666667,295.0
108.73076923076923,399.8269230769231
110.0,311.0
110.0,452.0
110.0,659.0
113.0,526.0
113.16666666666667,381.1666666666667
114.0,435.0
114.0,490.0
114.21428571428571,728.2142857142857
115.0,417.75
115.0,676.0
116.0,603.0
117.0,364.0
117.0,507.0
117.27272727272727,245.27272727272728
118.0,806.0
119.0,770.0
120.44444444444444,710.8888888888889
120.75,611.5
120.75,766.0
120.8,687.6
121.0,119.0
121.0,229.0
121.0,245.0
121.0,325.0
121.0,348.0
121.0,362.0
121.0,378.0
121.0,400.0
121.0,406.0
121.0,421.0
121.0,439.0
121.0,446.0
121.0,483.6666666666667
121.0,505.0
121.0,531.0
121.0,542.0
121.0,546.0
121.0,573.0
121.0,591.0
121.0,596.0
121.0,650.2619047619048
121.0,659.0
121.0,745.0
121.0,783.0
121.0,788.0
121.0,802.0
121.0,816.0
121.0,832.1481481481482
121.0,863.0
121.0,879.0
121.0,896.0
121.04761904761905,719.7142857142857
121.16666666666667,452.5
121.25,329.75
121.6,127.0
121.75,700.5
123.16666666666667,695.1666666666666
124.0,311.0
124.3076923076923,841.3846153846154
124.33333333333333,603.0
124.5,729.25
125.0,507.0
125.0,676.0
127.0,246.0
127.0,770.0
127.375,823.375
128.3,641.9
128.5,858.5
129.0,560.0
129.0,585.0
130.0,329.0
131.0,896.1282051282051
131.33333333333334,435.0
131.75,468.25
132.0,295.0
132.14285714285714,381.0
132.5,418.25
133.0,364.0
133.0,452.0
134.0,311.0
134.0,526.0
134.6,490.4
135.2,624.4
136.0,602.8333333333334
136.66666666666666,348.0
137.4,769.6
137.6,658.8
137.66666666666666,806.0
138.0,507.0
138.0,676.0
141.0,311.0
141.0,642.0
141.0,695.0
141.21428571428572,796.3571428571429
141.28571428571428,698.2857142857143
141.3,730.55
141.75,745.375
141.75,880.0
141.8235294117647,314.6470588235294
142.0,361.0
142.0,376.0
142.0,380.0
142.0,394.0
142.0,420.0
142.0,441.0
142.0,537.0
142.0,552.0
142.0,566.0
142.0,575.0
142.0,586.0
142.0,590.6666666666666
142.0,646.3333333333334
142.0,665.0
142.0,683.0
142.0,766.6666666666666
142.0,786.0
142.0,821.0
142.0,896.0
142.125,859.75
142.1764705882353,243.0
142.4,597.0
142.625,286.125
144.0,295.0
145.0,711.0
145.375,877.875
146.0,348.0
146.0,364.0
147.1764705882353,729.6470588235294
150.0,246.0
150.0,452.0
150.0,542.0
150.0,642.0
151.0,399.85714285714283
151.33333333333334,603.0
152.0,695.0
152.5,364.0
152.66666666666666,381.0
153.0,659.0
154.0,676.0
154.5,435.6
155.0,711.0
155.66666666666666,585.0
157.0,560.0
157.0,603.0
157.0,769.75
160.91666666666666,543.3333333333334
161.0,87.0
