x,y
277,276
277,296
277,332
277,342
277,346
277,350
277,371
277,394
277,408
277,412
277,428
277,448
277,452
277,462
277,471
277,483
277,505
277,509
277,519
277,545
277,564
277,597
277,604
277,623
277,627
277,631
277,643
277,660
277,676
277,695
277,711
277,719
277,758
277,768
277,774
277,788
277,832
277,851
278,314
279,513
279,617
280,378
280,525
280,667
281,338
281,430
281,487
281,606
281,642
282,415
283,654
284,442
284,537
284,582
284,715
284,743
284,767
285,458
285,755
285,781
287,513
287,678
287,692
288,704
288,715
289,642
289,824
291,28
291,245
291,261
291,288
291,299
291,395
291,405
291,510
291,577
291,606
291,638
291,646
291,657
291,667
291,700
291,708
291,751
291,769
291,777
291,792
291,808
291,812
291,816
291,820
291,849
291,887
292,704
292,715
292,796
293,836
295,378
297,472
297,513
298,678
300,299
300,367
300,415
301,550
302,327
302,353
302,371
302,422
302,471
302,491
302,518
302,530
302,546
302,554
302,558
302,562
302,577
302,600
302,626
302,638
302,657
302,673
302,678
302,700
302,716
302,751
302,779
302,792
302,819
302,835
303,487
304,704
305,525
306,630
306,715
306,730
306,836
307,487
307,563
307,781
308,642
308,654
308,678
308,692
309,796
310,442
310,667
310,715
310,808
311,487
311,730
312,743
313,513
313,755
313,767
314,525
314,796
314,836
315,471
315,492
315,503
315,558
315,564
315,583
315,606
315,621
315,640
315,652
315,677
315,690
315,701
315,714
315,734
315,777
315,788
315,809
315,827
315,842
315,852
316,630
318,595
318,617
318,796
319,667
319,808
320,678
320,692
323,808
324,502
324,755
324,767
325,781
326,743
326,796
326,824
327,836
328,7
328,253
328,285
328,472
328,480
328,582
328,597
328,623
328,677
328,690
328,700
328,715
328,733
328,752
328,767
328,771
328,788
328,800
328,804
328,820
328,829
328,840
328,844
328,892
329,314
329,642
330,271
331,299
332,767
333,258
333,472
333,537
333,781
333,808
334,338
334,458
335,836
336,314
336,513
337,487
337,525
338,390
338,458
339,743
340,16
340,755
340,767
341,550
341,667
342,678
342,692
343,28
343,40
343,50
343,289
343,594
343,620
343,642
343,653
343,659
343,715
343,735
343,751
343,771
343,796
343,807
343,811
343,829
343,843
344,824
345,704
347,258
347,271
348,205
348,299
349,743
350,314
350,327
350,338
350,836
351,271
351,808
352,220
352,563
354,327
354,502
354,824
354,885
355,74
355,306
355,319
355,334
355,521
355,525
355,543
355,557
355,579
355,631
355,659
355,694
355,718
355,754
355,771
355,777
355,790
355,805
355,816
355,864
356,654
358,537
358,667
358,796
359,563
359,715
360,630
361,692
361,755
361,767
361,808
362,595
362,781
363,582
363,715
364,704
365,730
366,836
366,885
367,390
367,446
367,483
367,487
367,543
367,554
367,598
367,637
367,655
367,715
367,734
367,743
367,755
367,769
367,804
367,808
367,812
367,816
367,820
367,824
367,829
367,842
367,850
367,856
367,874
368,513
368,550
369,796
371,299
371,767
372,513
373,356
373,390
374,367
374,442
375,502
375,525
375,704
375,743
376,285
376,378
376,402
377,595
378,430
378,755
378,796
378,836
379,563
379,582
380,273
380,290
380,328
380,366
380,382
380,409
380,420
380,424
380,441
380,452
380,461
380,488
380,501
380,525
380,537
380,552
380,599
380,638
380,692
380,699
380,710
380,727
380,747
380,769
380,786
380,801
380,813
380,828
380,842
380,868
383,796
383,808
384,271
384,314
384,327
384,367
384,550
384,692
384,743
385,402
385,730
385,755
386,824
387,285
387,338
387,654
387,836
389,415
389,487
389,563
389,796
391,513
391,537
391,654
391,856
391,874
391,885
392,525
392,582
392,595
393,617
393,630
393,781
394,743
394,755
394,767
395,330
395,412
395,416
395,431
395,469
395,478
395,489
395,514
395,541
395,553
395,559
395,573
395,621
395,641
395,653
395,691
395,713
395,730
395,734
395,747
395,751
395,787
395,798
395,808
395,824
395,842
395,853
395,859
395,869
398,667
399,525
399,730
400,502
400,537
400,617
400,808
401,327
401,856
402,314
402,715
402,796
403,442
403,678
403,836
404,502
404,630
404,704
404,755
404,767
404,808
405,327
405,415
405,430
405,743
406,299
406,367
406,513
407,378
407,442
407,730
408,271
408,286
408,309
408,319
408,323
408,348
408,371
408,410
408,419
408,435
408,459
408,481
408,499
408,506
408,517
408,533
408,544
408,556
408,577
408,592
408,601
408,612
408,621
408,642
408,709
408,715
408,726
408,734
408,754
408,769
408,787
408,802
408,811
408,823
408,831
408,860
408,869
408,889
409,327
409,430
411,314
411,472
411,525
411,537
411,617
412,502
412,715
413,513
413,550
414,563
415,606
415,642
415,654
415,730
417,617
417,781
417,808
417,836
418,550
418,704
418,856
418,874
418,885
419,630
419,730
419,743
419,755
419,767
420,642
420,678
421,285
421,338
421,808
421,824
422,289
422,331
422,342
422,360
422,385
422,465
422,507
422,537
422,550
422,556
422,620
422,714
422,735
422,781
422,793
422,829
422,842
422,848
422,860
422,866
422,888
425,314
425,367
425,458
425,836
426,327
426,856
427,537
427,550
428,487
428,502
428,525
428,563
429,356
430,314
430,327
430,513
431,430
432,582
432,630
433,81
433,309
433,349
433,363
433,403
433,417
433,425
433,438
433,442
433,483
433,487
433,498
433,519
433,523
433,542
433,555
433,559
433,563
433,573
433,611
433,617
433,656
433,687
433,735
433,746
433,765
433,781
433,791
433,807
433,839
433,888
435,715
436,692
436,704
436,755
437,415
437,550
437,654
437,743
438,606
438,642
438,667
438,730
439,299
439,767
440,367
440,692
440,715
441,402
441,442
441,781
441,808
442,430
442,796
443,356
443,458
443,487
443,525
444,606
444,692
445,537
446,550
446,582
446,595
447,82
447,291
447,307
447,348
447,361
447,406
447,410
447,427
447,460
447,476
447,503
447,515
447,541
447,545
447,554
447,558
447,562
447,572
447,576
447,602
447,613
447,630
447,658
447,697
447,709
447,729
447,751
447,762
447,771
447,785
447,803
447,811
447,825
447,838
447,844
447,856
447,867
447,888
448,654
448,692
449,667
450,137
451,402
451,704
451,796
452,442
452,487
452,692
452,767
453,502
453,781
453,808
454,856
455,205
455,563
455,874
455,885
457,271
457,390
457,654
457,692
457,730
458,285
458,338
458,367
458,458
458,630
458,642
459,667
459,743
459,824
460,678
460,704
461,271
461,755
462,378
462,415
462,582
462,715
463,299
463,356
463,537
464,327
464,367
464,430
464,442
464,550
464,808
465,402
465,487
466,472
466,642
466,715
468,502
468,563
468,582
468,595
468,630
468,730
469,458
469,513
469,654
469,667
469,678
469,692
469,755
470,349
470,400
470,437
470,463
470,536
470,540
470,574
470,606
470,617
470,635
470,671
470,710
470,718
470,722
470,743
470,759
470,766
470,785
470,791
470,805
470,819
470,829
470,841
470,887
473,796
475,402
475,767
475,781
475,836
476,730
477,271
477,743
477,824
478,314
478,755
478,808
478,856
478,885
479,402
480,233
480,327
480,796
481,390
481,442
481,458
482,178
482,197
482,251
482,266
482,271
482,281
482,285
482,301
482,308
482,331
482,347
482,364
482,379
482,386
482,406
482,425
482,436
482,462
482,475
482,513
482,525
482,538
482,574
482,606
482,627
482,635
482,667
482,693
482,726
482,752
482,785
482,791
482,824
482,862
482,886
483,402
483,415
484,338
484,502
485,442
486,258
486,271
486,285
486,367
486,458
486,617
486,630
487,472
488,378
488,402
488,502
488,550
489,415
489,442
490,367
490,487
490,595
490,642
491,563
491,606
491,730
491,743
492,245
492,402
492,654
492,667
492,715
493,442
493,582
493,692
494,595
494,630
494,678
494,704
494,767
494,781
495,755
495,808
495,824
496,245
496,359
496,366
496,403
496,407
496,436
496,483
496,497
496,549
496,558
496,564
496,577
496,589
496,618
496,637
496,649
496,654
496,672
496,696
496,708
496,728
496,743
496,750
496,799
496,815
496,819
496,836
496,860
496,886
497,472
498,595
498,856
499,299
500,233
500,537
500,550
500,563
500,654
501,271
502,285
502,338
502,430
502,642
503,258
503,487
503,781
504,245
504,327
504,367
504,402
504,537
504,692
505,442
506,390
507,582
508,537
508,550
509,177
509,191
509,211
509,227
509,247
509,287
509,329
509,339
509,362
509,378
509,385
509,400
509,419
509,426
509,445
509,461
509,484
509,513
509,525
509,560
509,571
509,597
509,606
509,620
509,635
509,672
509,678
509,693
509,709
509,728
509,743
509,747
509,765
509,781
509,788
509,803
509,813
509,817
509,822
509,835
509,885
510,755
511,630
511,808
512,642
513,617
513,692
513,704
514,678
514,730
514,743
515,285
515,367
515,458
515,715
515,767
515,808
516,781
516,796
517,356
517,617
517,824
517,836
518,378
518,415
518,582
519,402
519,442
520,390
520,430
520,525
520,537
520,630
520,856
521,288
521,301
521,396
521,423
521,435
521,465
521,472
521,477
521,481
521,557
521,574
521,591
521,610
521,617
521,650
521,664
521,691
521,715
521,719
521,729
521,747
521,755
521,763
521,782
521,798
521,807
521,820
521,843
521,860
521,885
522,487
522,550
522,654
523,442
523,595
523,642
525,472
525,563
525,582
525,606
525,692
527,442
527,704
527,767
528,160
528,678
529,472
529,730
529,781
529,796
529,808
529,824
529,836
530,245
530,755
531,271
531,595
531,856
532,285
532,299
532,642
534,149
534,314
534,430
534,472
535,137
535,390
535,595
535,755
536,285
536,327
537,299
537,338
537,378
537,563
538,743
538,808
539,153
539,232
539,244
539,271
539,281
539,289
539,306
539,345
539,367
539,386
539,439
539,458
539,472
539,476
539,495
539,499
539,519
539,536
539,552
539,573
