original_x,original_y,sample_x,sample_y
44.0,22.38925,28.5,62.831144928904585
44.128,21.0,28.75,62.77303514839063
44.233,20.0,29.0,62.70894729515526
44.34,19.0,29.25,62.63874437082226
44.445,18.0,29.5,62.56269617602424
44.523,18.0,29.75,62.48117421114599
44.583,17.0,30.0,62.39454997657233
44.613,16.0,30.25,62.30310499879074
44.73,16.0,30.5,62.206760908699366
44.788,15.0,30.75,62.105349363299126
44.839,15.0,31.0,61.99870201959083
45.183,12.0,31.25,61.886650534575374
45.334,11.0,31.5,61.7690265652536
,,31.75,61.645661768626375
,,32.0,61.51638780169455
,,32.25,61.38108218655876
,,32.5,61.2398059057186
,,32.75,61.09266580677347
,,33.0,60.939768737322765
,,33.25,60.781221544965845
,,33.5,60.61713107730212
,,33.75,60.447604181930956
,,34.0,60.27274770645172
,,34.25,60.09271082214493
,,34.5,59.90781490160594
,,34.75,59.718534009476315
,,35.0,59.525484082233646
,,35.25,59.32916152363928
,,35.5,59.12954727826468
,,35.75,58.92649332383689
,,36.0,58.719846676708435
,,36.25,58.50912344610044
,,36.5,58.29254391282919
,,36.75,58.067183932754894
,,37.0,57.82702800631398
,,37.25,57.565332811868025
,,37.5,57.27535502777861
,,37.75,56.95035133240736
,,38.0,56.583578404115826
,,38.25,56.16829292126562
,,38.5,55.69775156221832
,,38.75,55.16510824301282
,,39.0,54.5605827180352
,,39.25,53.87036977421811
,,39.5,53.076559069696806
,,39.75,52.159212942067704
,,40.0,51.09879154012804
,,40.25,49.88140220191868
,,40.5,48.51114725910476
,,40.75,47.00617922606651
,,41.0,45.39337310194748
,,41.25,43.69642891826767
,,41.5,41.932556366377625
,,41.75,40.11771871247447
,,42.0,38.26144298736355
,,42.25,36.36580660180924
,,42.5,34.43247120884574
,,42.75,32.463098461507236
,,43.0,30.459350012827947
,,43.25,28.42288751584207
,,43.5,26.355372623583786
,,43.75,24.25839597128836
,,44.0,22.13304992942894
,,44.25,19.986123544220707
,,44.5,17.83330006695429
,,44.75,15.686964831210318
,,45.0,13.550715217091174
,,45.25,11.420717266992192
,,45.5,9.292273807152412
